"Subject","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","zEnglish.MC","zEnglish.Cloze","English.Overall","ProfileRight"
"675",20,22,0,0,"CBDA",1,"male",30,"monolingual",3,5,7,29,1,23,28,15,13,1,0.05,290.5,495,0.9875,392.75,1,0.9285714286,474.5,432,0.9104320337,-42.5,5,6,3,2,3,3,0.289928970973523,-0.242216117081228,0.0477128538922945,FALSE
"6760",27,23,0,0,"BCAD",2,"male",52,"monolingual",4,5,7,34,0,27,39,18,21,0.95,0,334,382.5,0.9875,358.25,1,0.9285714286,483.5,452,0.9348500517,-31.5,6,6,3,3,5,4,0.940236943250583,0.941129798430116,1.8813667416807,FALSE
"6780",20,32,1,0,"ADBC",4,"male",68,"monolingual",4,5,7,40,2,21,36,16,20,0.95,0,491,494,0.9875,492.5,1,0.9285714286,516.5,581,1.1248789932,64.5,6,6,3,3,3,3,0.506698295065876,0.793211558991198,1.29990985405707,TRUE
"6800",20,16,0,1,"BCAD",2,"female",28,"monolingual",4,5,6,31,0,13,NA,NA,NA,1,0,332,384.5,1,358.25,1,0.9285714286,429,523,1.2191142191,94,6,6,5,5,5,5,NA,NA,NA,TRUE
"6832",21,26,0,0,"ADBC",4,"female",53,"monolingual",4,5,8,36,1,20,33,14,19,1,0,317,355.5,1,336.25,1,1,653,642.5,0.9839203675,-10.5,6,6,3,3,2,2,0.0731596468811693,0.64529331955228,0.718452966433449,FALSE
"6843",13,16,0,0,"DACB",3,"male",71,"monolingual",2,5,6,31,0,4,28,16,12,0.9,0.05,482.5,1394,0.9597953216,938.25,1,1,586.5,583,0.9940323956,-3.5,6,6,1,1,4,4,0.506698295065876,-0.390134356520146,0.11656393854573,FALSE
"7098",19,23,0,0,"ACBD",2,"female",62,"monolingual",1,2,2,35,2,1,37,14,23,1,0.05,231,445,0.9875,338,1,1,466.5,546.5,1.1714898178,80,6,6,1,1,3,3,0.0731596468811693,1.23696627730795,1.31012592418912,FALSE
"7164",13,4,0,0,"CBDA",1,"male",10,"monolingual",1,2,2,4,27,19,5,4,1,0.95,0.2,549,743.5,0.9317434211,646.25,1,1,431,451.5,1.0475638051,20.5,3,3,0,0,1,1,-2.09453359404236,-2.01723499034824,-4.11176858439061,FALSE
"7165",19,21,0,0,"CBDA",1,"male",16,"monolingual",3,4,6,32,0,18,34,20,14,1,0,319.5,440,1,379.75,1,1,473,359.5,0.7600422833,-113.5,6,6,2,2,5,4,1.37377559143529,-0.0942978776423102,1.27947771379298,FALSE
"717",18,18,0,0,"BCAD",2,"female",15,"monolingual",2,5,6,29,9,21,25,12,13,1,0.2,81.5,417,0.95,249.25,0.9285714286,0.9285714286,422,428,1.0142180095,6,6,6,4,4,4,4,-0.360379001303537,-0.242216117081228,-0.602595118384766,FALSE
