m,eff.Covariate,power.nocovar,power.fixedcovar,mean.est.nocovar,mean.est.fixedcovar,sd.est.nocovar,sd.est.fixedcovar,k
5,0.1,0.462,0.47,0.94748525912481,0.9508734220023537,0.16333802111976342,0.16379170908293386,60
20,0.1,0.884,0.892,0.9666172672041482,0.9645498036858811,0.03365663363982304,0.03338342431181993,60
5,1,0.238,0.408,0.9386773216865876,0.9585223743805696,0.192841697006774,0.1350380510890534,60
20,1,0.26,0.876,0.9266749454163611,0.966931633519367,0.08529489718399164,0.03969200057945857,60
