"textName","TTR","Guiraud","nTokens","nTypes","nLemmas","meanWordLength","MSTTR10","MSTTR30","MSTTR50","HDD42","HDD31","HDD20","MTLD83","MTLD72","MTLD61","MTLD50","MTLD83MA","MTLD72MA","MTLD61MA","MTLD50MA","MATTR100","MATTR65","MATTR30","MATTR10","lexWordNumber","lexWordRatio","ornWordNumber","conjunctionNumber","conjunctionRatio","fullStops","nAdvTokens","nAdjTokens","nVerbTokens","nNounTokens","nAdvTypes","nAdjTypes","nVerbTypes","nNounTypes","nAdvLemmas","nAdjLemmas","nVerbLemmas","nNounLemmas","nConjunctionLemmas","YulesKLemma","YulesK"
"N_CD_5_arg_D_C_1.txt",0.75,5.40833,52,39,36,4.63461538461539,0.96,0.8,0.74,32.9916612798966,25.731803490627,17.6544032997814,32.2431610942249,58.24,81.12,104,24.2307692307692,NA,NA,NA,NA,NA,0.802898550724638,0.958139534883721,26,0.5,7,6,0.115384615384615,7,4,3,13,6,4,3,11,6,4,3,8,6,2,273.668639053254,88.7573964497041
"N_CD_5_arg_D_C_2.txt",0.79245,5.76914,53,42,40,4.73584905660377,0.96,0.833333333333333,0.8,34.992230854606,27.1425339366516,18.3940920344916,53,71.5018181818182,99.5918181818182,127.681818181818,21.2777777777778,NA,NA,NA,NA,NA,0.829166666666667,0.952272727272727,26,0.490566037735849,7,4,0.0754716981132075,5,5,2,11,8,4,2,9,8,4,2,9,8,2,128.159487362051,71.1997152011392
"N_CD_5_arg_D_C_3.txt",0.77551,5.42857,49,38,37,4.51020408163265,0.975,0.8,NA,33.7283434650456,26.3476443768997,18.0234114922565,44.020325203252,61.1163636363636,85.1263636363636,109.136363636364,17.8333333333333,NA,NA,NA,NA,NA,0.848333333333333,0.97,27,0.551020408163265,8,3,0.0612244897959184,5,1,7,8,11,1,6,6,10,1,5,6,10,3,216.576426488963,74.9687630154102
"N_CD_5_narr_D_C_1.txt",0.74468,5.10527,47,35,32,4,0.9,0.833333333333333,NA,32.0715380468193,25.1050771901621,17.3081478468179,18.8,51.5433333333333,71.7925,92.0416666666667,23.7586206896552,NA,NA,NA,NA,NA,0.812962962962963,0.91578947368421,21,0.446808510638298,5,3,0.0638297872340425,8,3,2,10,6,2,2,9,5,2,2,7,5,3,289.723856948846,90.5387052965143
"N_CD_5_narr_D_C_2.txt",0.68919,5.92863,74,51,47,4.52702702702703,0.957142857142857,0.783333333333333,0.72,32.9774904427317,25.6508786056871,17.5634266458659,29.6,50.5109192483494,92.8539130434782,119.04347826087,21.5952380952381,45.1363636363636,NA,NA,NA,0.696923076923077,0.81037037037037,0.936923076923077,36,0.486486486486487,10,5,0.0675675675675676,8,8,2,17,9,7,2,13,7,6,2,10,7,4,233.747260774288,113.221329437546
"N_CD_5_narr_D_C_3.txt",0.70103,6.90435,97,68,61,4.67010309278351,0.955555555555556,0.866666666666667,0.78,34.5114015624284,26.5362346759635,17.9492950237713,30.6451327433628,86.6808510638298,126.534827586207,162.224137931034,28.8444444444444,93.6666666666667,NA,NA,NA,0.772027972027972,0.862254901960784,0.967045454545455,47,0.484536082474227,13,11,0.11340206185567,7,7,6,21,13,7,6,16,13,7,6,14,13,6,272.079923477522,89.2762248910617
"N_CD_6_arg_D_C_1.txt",0.82927,5.30991,41,34,33,4.60975609756098,0.975,0.9,NA,34,26.8850844277674,18.2532833020638,32.9291338582677,67.24,93.6557142857143,120.071428571429,40,NA,NA,NA,NA,NA,0.869444444444444,0.95,23,0.560975609756098,7,1,0.024390243902439,4,5,2,9,7,5,1,8,7,5,1,8,7,1,118.976799524093,95.1814396192742
"N_CD_6_arg_D_C_2.txt",0.94118,5.48795,34,32,31,5.44117647058824,1,0.966666666666667,NA,32,29.3422459893048,19.3226381461676,98.26,161.84,225.42,289,NA,NA,NA,NA,NA,NA,0.94,0.98,24,0.705882352941177,10,2,0.0588235294117647,1,7,3,8,6,7,3,7,6,7,2,7,6,2,69.2041522491349,34.6020761245675
"N_CD_6_arg_D_C_3.txt",0.8169,6.88333,71,58,55,4.95774647887324,0.985714285714286,0.916666666666667,0.9,37.2045315370484,28.3504505292625,18.893010235325,71,108.575384615385,151.23,193.884615384615,33.9090909090909,NA,NA,NA,NA,0.848351648351648,0.91984126984127,0.970967741935484,39,0.549295774647887,12,6,0.0845070422535211,6,5,7,15,12,5,6,13,11,5,5,10,11,6,126.958936718905,51.5770680420551
"N_CD_6_narr_D_C_1.txt",1,3.31662,11,11,11,4.90909090909091,1,NA,NA,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.545454545454545,3,0,0,1,1,2,1,2,1,2,1,2,1,2,1,2,0,0,0
"N_CD_6_narr_D_C_2.txt",0.92593,4.81125,27,25,24,5.11111111111111,1,NA,NA,25,25,18.9173789173789,61.965,102.06,142.155,182.25,NA,NA,NA,NA,NA,NA,NA,0.977777777777778,15,0.555555555555556,5,4,0.148148148148148,2,2,3,6,4,2,3,6,4,2,3,6,4,3,82.3045267489712,54.8696844993141
