"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"GermanTexts/Q/AB_PLD_2_arg_D_C_2.txt",5.4375,16,"AB",FALSE,"2","arg","D","2"
"GermanTexts/Q/AC_PLD_1_arg_D_C_2.txt",4.125,16,"AC",FALSE,"1","arg","D","2"
"GermanTexts/Q/AC_PLD_5_narr_D_C_1.txt",5.1875,16,"AC",FALSE,"5","narr","D","1"
"GermanTexts/Q/AC_PLD_7_arg_D_C_3.txt",4.6875,16,"AC",FALSE,"7","arg","D","3"
"GermanTexts/Q/AC_PLD_7_narr_D_C_2.txt",3.625,16,"AC",FALSE,"7","narr","D","2"
"GermanTexts/Q/E_PLD_13_narr_D_C_1.txt",4.625,16,"E",FALSE,"13","narr","D","1"
"GermanTexts/Q/E_PLD_1_arg_D_C_1.txt",5.8125,16,"E",FALSE,"1","arg","D","1"
"GermanTexts/Q/E_PLD_5_arg_D_C_3.txt",5.5,16,"E",FALSE,"5","arg","D","3"
"GermanTexts/Q/F_PLD_7_narr_D_C_3.txt",4.125,16,"F",FALSE,"7","narr","D","3"
"GermanTexts/Q/F_PLD_9_narr_D_C_3.txt",4.75,16,"F",FALSE,"9","narr","D","3"
"GermanTexts/Q/H_PLD_10_arg_D_C_1.txt",2.9375,16,"H",FALSE,"10","arg","D","1"
"GermanTexts/Q/I_PLD_3_narr_D_C_2.txt",5.4375,16,"I",FALSE,"3","narr","D","2"
"GermanTexts/Q/J_PLD_5_arg_D_C_2.txt",4.6875,16,"J",FALSE,"5","arg","D","2"
"GermanTexts/Q/J_PLD_5_narr_D_C_2.txt",5.25,16,"J",FALSE,"5","narr","D","2"
"GermanTexts/Q/L_PLD_16_narr_D_C_3.txt",6.8125,16,"L",FALSE,"16","narr","D","3"
"GermanTexts/Q/L_PLD_18_narr_D_C_2.txt",5.375,16,"L",FALSE,"18","narr","D","2"
"GermanTexts/Q/L_PLD_2_narr_D_C_2.txt",4.5,16,"L",FALSE,"2","narr","D","2"
"GermanTexts/Q/L_PLD_4_narr_D_C_2.txt",3.625,16,"L",FALSE,"4","narr","D","2"
"GermanTexts/Q/M_PLD_3_arg_D_C_3.txt",5.5,16,"M",FALSE,"3","arg","D","3"
"GermanTexts/Q/M_PLD_3_narr_D_C_1.txt",3.6875,16,"M",FALSE,"3","narr","D","1"
"GermanTexts/Q/N_CD_11_arg_D_C_1.txt",5.375,16,"N",TRUE,"11","arg","D","1"
"GermanTexts/Q/N_CD_15_arg_D_C_1.txt",6.125,16,"N",TRUE,"15","arg","D","1"
"GermanTexts/Q/N_CD_20_arg_D_C_2.txt",5.5625,16,"N",TRUE,"20","arg","D","2"
"GermanTexts/Q/N_CD_20_narr_D_C_3.txt",5.0625,16,"N",TRUE,"20","narr","D","3"
"GermanTexts/Q/N_CD_9_arg_D_C_3.txt",6.5625,16,"N",TRUE,"9","arg","D","3"
"GermanTexts/Q/O_PLD_11_arg_D_C_2.txt",5.5,16,"O",FALSE,"11","arg","D","2"
"GermanTexts/Q/O_PLD_12_narr_D_C_3.txt",6.0625,16,"O",FALSE,"12","narr","D","3"
"GermanTexts/Q/O_PLD_13_narr_D_C_1.txt",6.1875,16,"O",FALSE,"13","narr","D","1"
"GermanTexts/Q/O_PLD_14_arg_D_C_3.txt",5.75,16,"O",FALSE,"14","arg","D","3"
"GermanTexts/Q/O_PLD_15_narr_D_C_2.txt",7.125,16,"O",FALSE,"15","narr","D","2"
"GermanTexts/Q/O_PLD_17_arg_D_C_1.txt",5.25,16,"O",FALSE,"17","arg","D","1"
"GermanTexts/Q/O_PLD_19_arg_D_C_1.txt",5.5625,16,"O",FALSE,"19","arg","D","1"
"GermanTexts/Q/O_PLD_21_arg_D_C_3.txt",7.25,16,"O",FALSE,"21","arg","D","3"
"GermanTexts/Q/U_CD_10_narr_D_C_3.txt",6.25,16,"U",TRUE,"10","narr","D","3"
"GermanTexts/Q/U_CD_11_narr_D_C_3.txt",5.0625,16,"U",TRUE,"11","narr","D","3"
"GermanTexts/Q/U_CD_1_narr_D_C_2.txt",5.0625,16,"U",TRUE,"1","narr","D","2"
"GermanTexts/Q/U_CD_6_narr_D_C_2.txt",6,16,"U",TRUE,"6","narr","D","2"
"GermanTexts/Q/V_CD_11_arg_D_C_2.txt",7.375,16,"V",TRUE,"11","arg","D","2"
"GermanTexts/Q/V_CD_11_narr_D_C_1.txt",5.5625,16,"V",TRUE,"11","narr","D","1"
"GermanTexts/Q/V_CD_12_arg_D_C_1.txt",5,16,"V",TRUE,"12","arg","D","1"
"GermanTexts/Q/V_CD_12_narr_D_C_2.txt",5.1875,16,"V",TRUE,"12","narr","D","2"
