"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"FrenchTexts/N/C_PLF_30_narr_F_C_3.txt",6.625,8,"C",FALSE,"30","narr","F","3"
"FrenchTexts/N/C_PLF_7_narr_F_C_1.txt",4.375,8,"C",FALSE,"7","narr","F","1"
"FrenchTexts/N/D_PLF_3_arg_F_C_3.txt",6.625,8,"D",FALSE,"3","arg","F","3"
"FrenchTexts/N/D_PLF_6_narr_F_C_3.txt",4.14285714285714,7,"D",FALSE,"6","narr","F","3"
"FrenchTexts/N/D_PLF_8_narr_F_C_2.txt",4,8,"D",FALSE,"8","narr","F","2"
"FrenchTexts/N/P_CF_12_arg_F_C_2.txt",7,8,"P",TRUE,"12","arg","F","2"
"FrenchTexts/N/P_CF_6_arg_F_C_3.txt",6.5,8,"P",TRUE,"6","arg","F","3"
"FrenchTexts/N/P_CF_9_narr_F_C_1.txt",8.25,8,"P",TRUE,"9","narr","F","1"
"FrenchTexts/N/Q_CF_14_narr_F_C_3.txt",5.625,8,"Q",TRUE,"14","narr","F","3"
"FrenchTexts/N/Q_CF_17_narr_F_C_3.txt",3.71428571428571,7,"Q",TRUE,"17","narr","F","3"
"FrenchTexts/N/Q_CF_2_arg_F_C_2.txt",4.75,8,"Q",TRUE,"2","arg","F","2"
"FrenchTexts/N/Q_CF_3_arg_F_C_3.txt",7.125,8,"Q",TRUE,"3","arg","F","3"
"FrenchTexts/N/R_CF_11_narr_F_C_2.txt",4.5,8,"R",TRUE,"11","narr","F","2"
"FrenchTexts/N/R_CF_13_narr_F_C_2.txt",4.5,8,"R",TRUE,"13","narr","F","2"
"FrenchTexts/N/R_CF_15_narr_F_C_1.txt",4.625,8,"R",TRUE,"15","narr","F","1"
"FrenchTexts/N/R_CF_17_arg_F_C_3.txt",6.375,8,"R",TRUE,"17","arg","F","3"
"FrenchTexts/N/R_CF_17_narr_F_C_2.txt",5,8,"R",TRUE,"17","narr","F","2"
"FrenchTexts/N/R_CF_1_arg_F_C_3.txt",6.875,8,"R",TRUE,"1","arg","F","3"
"FrenchTexts/N/R_CF_4_arg_F_C_1.txt",4.5,8,"R",TRUE,"4","arg","F","1"
"FrenchTexts/N/T_CF_13_narr_F_C_3.txt",5.625,8,"T",TRUE,"13","narr","F","3"
"FrenchTexts/N/W_CF_17_arg_F_C_2.txt",6,8,"W",TRUE,"17","arg","F","2"
"FrenchTexts/N/W_CF_20_arg_F_C_2.txt",4.75,8,"W",TRUE,"20","arg","F","2"
"FrenchTexts/N/W_CF_3_arg_F_C_1.txt",6.625,8,"W",TRUE,"3","arg","F","1"
"FrenchTexts/N/W_CF_3_narr_F_C_1.txt",4.125,8,"W",TRUE,"3","narr","F","1"
"FrenchTexts/N/W_CF_4_narr_F_C_3.txt",5.625,8,"W",TRUE,"4","narr","F","3"
"FrenchTexts/N/W_CF_8_arg_F_C_1.txt",5.625,8,"W",TRUE,"8","arg","F","1"
"FrenchTexts/N/Y_PNF_12_arg_F_C_3.txt",6.75,8,"Y",FALSE,"12","arg","F","3"
"FrenchTexts/N/Y_PNF_20_narr_F_C_2.txt",6,8,"Y",FALSE,"20","narr","F","2"
"FrenchTexts/N/Y_PNF_22_arg_F_C_2.txt",3,8,"Y",FALSE,"22","arg","F","2"
"FrenchTexts/N/Y_PNF_27_arg_F_C_3.txt",6.25,8,"Y",FALSE,"27","arg","F","3"
"FrenchTexts/N/Y_PNF_2_narr_F_C_1.txt",4.875,8,"Y",FALSE,"2","narr","F","1"
"FrenchTexts/N/Y_PNF_36_arg_F_C_2.txt",4.125,8,"Y",FALSE,"36","arg","F","2"
"FrenchTexts/N/Y_PNF_5_narr_F_C_2.txt",3.875,8,"Y",FALSE,"5","narr","F","2"
"FrenchTexts/N/Z_PLF_2_arg_F_C_2.txt",3.5,8,"Z",FALSE,"2","arg","F","2"
"FrenchTexts/N/Z_PLF_6_arg_F_C_1.txt",4.75,8,"Z",FALSE,"6","arg","F","1"
"FrenchTexts/O/AA_PLF_13_arg_F_C_1.txt",5.25,8,"AA",FALSE,"13","arg","F","1"
"FrenchTexts/O/AA_PLF_2_arg_F_C_1.txt",4.75,8,"AA",FALSE,"2","arg","F","1"
