Subject,Spoken,Written,Sex,Age,NrLang,BWDS,WST,Raven,English
7616,2,6,female,11,2,6,13,2,-2.426032936
7744,7,3,male,11,2,2,6,18,-3.3135423727
7794,12,24,male,64,3,6,36,10,1.5957463329
7859,15,16,female,62,4,5,35,11,-0.0211382308
7886,8,2,female,10,1,6,27,26,0.4226164876
7921,22,21,female,15,4,6,27,26,0.4226164876
8094,21,22,male,56,3,7,37,19,0.8561551357
8373,27,31,female,30,5,8,36,19,2.3939725447
8385,14,16,female,69,2,4,28,7,-0.3858257943
8443,18,25,female,71,5,5,33,0,1.3687609387
8477,17,16,female,42,3,8,36,25,-0.3858257943
8509,17,19,male,68,3,5,34,10,-1.8445760484
8531,23,26,female,52,4,8,36,30,0.5603186569
8578,12,8,male,11,2,6,9,20,-2.0613453725
8667,21,28,female,27,3,6,33,33,2.7586601082
8674,19,17,female,63,3,6,31,23,-1.4110374002
8699,13,25,female,80,4,5,36,12,0.2058471635
8706,6,16,male,70,3,7,34,7,-2.426032936
8707,18,26,female,63,3,4,35,6,1.0729244598
8760,6,20,male,82,2,7,37,7,-1.184052006
8763,15,5,female,40,2,4,27,26,-2.8595715842
8788,27,7,male,35,3,9,37,29,2.3939725447
8798,16,15,male,15,2,5,20,18,-2.5739511755
8805,21,14,male,70,4,4,35,22,1.08314053
8927,15,23,male,59,5,5,36,9,0.777087981
8942,21,33,male,32,3,6,35,25,2.3939725447
8968,17,16,male,25,2,6,31,21,-0.3169747096
9022,14,17,female,65,2,7,33,12,0.1956310933
9093,18,14,female,15,3,6,18,23,-1.3319702454
9193,17,20,female,25,5,6,32,20,1.7334485022
9219,13,11,male,11,1,6,11,9,-2.8595715842
9275,11,24,male,72,3,7,35,9,-2.3571818514
9318,15,19,male,72,2,6,34,9,-1.9032110629
9442,17,16,female,23,2,6,32,27,0.8663712059
9490,25,26,female,39,2,9,35,21,0.6393858116
9509,17,19,male,73,3,7,37,14,1.5268952483
9513,7,5,male,10,1,5,14,5,-3.0967730486
9555,16,7,male,51,3,6,34,14,1.2310587694
9781,22,33,male,43,4,12,34,35,1.4478280935
9802,19,19,female,28,4,6,34,18,1.6543813475
9861,22,18,male,24,4,7,36,25,2.2460543052
9912,13,8,male,10,2,4,9,14,-3.3823934573
9913,16,11,female,40,3,8,29,17,-2.0613453725
